key,enabled,identity,password,username
user-account-consumer-01,true,"UserIdentity{name: 'Peter', surname: 'Consumer', email: 'peter@acme.com'}",consumer1,consumer1
user-account-consumer-02,true,"UserIdentity{name: 'Mary', surname: '貸んい建濯よ芝弾テソ Λορεμ ιπσθμ', email: 'mary@acme.com'}",consumer2,consumer2
user-account-consumer-03,true,"UserIdentity{name: 'Manolo', surname: '之乎路可良 ᏥᏲᏎᎭ', email: 'manolo@acme.com'}",consumer3,consumer3
user-account-provider-01,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",provider1,provider1
user-account-provider-02,true,"UserIdentity{name: 'Martina', surname: 'коза თხა', email: 'martina@acme.com'}",provider2,provider2
user-account-technician-02,true,"UserIdentity{name: 'Kike', surname:'Montilla', email: 'tirapichon@acme.com'}",technician2,technician2
user-account-technician-01,true,"UserIdentity{name: 'Juanillo', surname: 'Kokunero', email: 'lohdiozes@acme.com'}",technician1,technician1
user-account-technician-03,true,"UserIdentity{name: 'Felipe', surname: 'Nesucio', email: 'kikepordios@acme.com'}",technician3,technician3
user-account-provider-03,true,"UserIdentity{name: 'Antonia', surname: 'אבטיח Æløzå', email: 'antonia@acme.com'}",provider3,provider3
user-account-assistance-agent-01,true,"UserIdentity{name: 'Lolito', surname: 'Fernádez', email: 'lolito@acme.com'}",technician1,agent1
user-account-assistance-agent-02,true,"UserIdentity{name: 'Guillermo', surname: 'Díaz', email: 'guillermo@acme.com'}",agent2,agent2
user-account-assistance-agent-03,true,"UserIdentity{name: 'Samuel', surname: 'De Luque', email: 'samuel@acme.com'}",agent3,agent3
user-account-customer-01,true,"UserIdentity{name: 'Rosa', surname: 'Martinez', email: 'rosmar@acme.com'}",customer1,customer1
user-account-customer-02,true,"UserIdentity{name: 'Pipo', surname: 'Morales', email: 'pipmor@acme.com'}",customer2,customer2
user-account-customer-03,true,"UserIdentity{name: 'Rei', surname: 'Fujisaki', email: 'reifuj@acme.com'}",customer3,customer3
user-account-manager-01,true,"UserIdentity{name: 'Franciscano', surname: '貸んい建濯よ芝弾テソ', email: 'franciscano@acme.com'}",manager1,manager1
user-account-manager-02,true,"UserIdentity{name: 'Pepe', surname: 'коза თხა', email: 'pepe@acme.com'}",manager2,manager2
user-account-manager-03,true,"UserIdentity{name: 'Juan', surname: 'González', email: 'juan@acme.com'}",manager3,manager3
